Commodity,tier,n_obs,span_days,cv,avg_daily_range_pct,price_mean,volatility_cluster,full_cluster,hier_cluster,seasonal_strength,trend_strength,peak_month,shape_cluster
Red Cabbbage,Tier1_full_history,1535,2889,0.41937112526196524,0.11995497895013159,85.42833876221498,0,1.0,1.0,0.463,0.308,12.0,4.0
Smooth Gourd,Tier1_full_history,1711,2889,0.46983714556510875,0.15554906285034925,48.820864991233194,0,1.0,1.0,0.277,0.043,1.0,4.0
Snake Gourd,Tier1_full_history,1135,2889,0.35745748755182055,0.16499001108118005,35.074008810572685,0,1.0,1.0,0.146,0.003,2.0,4.0
Soyabean Green,Tier1_full_history,1061,2889,0.30969564035589764,0.10656175330504061,66.91658812441094,0,1.0,1.0,0.343,0.225,1.0,1.0
Spinach Leaf,Tier1_full_history,2733,2889,0.3941600078859874,0.12131131202505697,60.61727039882913,0,1.0,1.0,0.455,0.265,11.0,6.0
Sponge Gourd,Tier1_full_history,788,2889,0.3565205335953249,0.13781389534121571,43.56535532994924,0,1.0,1.0,0.548,0.302,12.0,4.0
Squash(Long),Tier1_full_history,2374,2885,0.3818146401489232,0.18876206879500365,32.51411120471778,0,1.0,1.0,0.291,0.2,7.0,6.0
Squash(Round),Tier2_sparse,669,710,0.34517327924744035,0.16106161640097127,44.11808669656203,0,,,,,,6.0
Strawberry,Tier1_full_history,234,2684,0.36111349689996325,0.12363576635655665,416.8376068376068,1,,,,,,6.0
Sugarbeet,Tier1_full_history,2618,2889,0.21942546580507571,0.13831505028993438,69.33823529411765,0,1.0,1.0,0.347,0.137,11.0,4.0
Sugarcane,Tier1_full_history,462,2838,0.22300751301575295,0.17955346000056704,55.865800865800864,0,1.0,1.0,0.883,0.0,5.0,6.0
Sweet Lime,Tier2_sparse,14,2697,0.3467523374490913,0.12567101165835853,61.607142857142854,0,,,,,,
Sweet Orange,Tier1_full_history,2556,2889,0.2760533308514478,0.09570641296348742,112.58607198748044,1,0.0,2.0,0.131,0.527,8.0,1.0
Sweet Potato,Tier1_full_history,661,2751,0.24540075249201942,0.13872318258027236,51.29576399394856,0,1.0,1.0,0.64,0.606,9.0,6.0
Sword Bean,Tier1_full_history,1342,2774,0.40780295780439646,0.1260046083390924,62.614381520119224,0,1.0,1.0,0.482,0.106,6.0,6.0
Tamarind,Tier1_full_history,2715,2889,0.20546400376695917,0.09103764922795596,114.23572744014733,1,0.0,2.0,0.098,0.931,2.0,1.0
Tofu,Tier1_full_history,2694,2889,0.1881642665107421,0.12507114106658096,80.06031922791388,0,0.0,1.0,0.011,0.456,8.0,6.0
Tomato Big(Indian),Tier2_sparse,474,689,0.26703847141027526,0.12851654278595387,60.33755274261603,0,,,,,,6.0
Tomato Big(Nepali),Tier1_full_history,2507,2889,0.3631429716987365,0.13162275609527072,48.727961707219784,0,1.0,1.0,0.222,0.232,11.0,6.0
Tomato Small(Indian),Tier2_sparse,357,645,0.39923275293248167,0.1878649011815678,36.254901960784316,0,,,,,,6.0
Tomato Small(Local),Tier1_full_history,2741,2889,0.4444341888129829,0.18785831163439326,38.18551623495075,0,1.0,1.0,0.255,0.043,10.0,6.0
Tomato Small(Terai),Tier2_sparse,286,525,0.3936483114154734,0.20514271180365082,32.42657342657343,0,,,,,,4.0
Tomato Small(Tunnel),Tier2_sparse,686,714,0.47451027775719284,0.19700201522342087,44.83381924198251,0,,,,,,6.0
Turnip,Tier1_full_history,420,2873,0.27979988749248763,0.11884975277069332,57.99285714285714,0,1.0,2.0,0.896,0.864,5.0,1.0
Turnip A,Tier1_full_history,2538,2889,0.2980740360638795,0.13044696365093592,55.860323089046496,0,1.0,1.0,0.251,0.142,10.0,6.0
Water Melon(Dotted),Tier2_sparse,42,696,0.22986775739145782,0.1787400010377397,32.904761904761905,0,,,,,,
Water Melon(Green),Tier1_full_history,2679,2889,0.3131697343939193,0.13432947152259322,46.16442702500933,0,1.0,1.0,0.721,0.116,12.0,4.0
Yam,Tier1_full_history,1105,2733,0.3372486827752905,0.1286906077177904,43.60090497737556,0,1.0,1.0,0.066,0.416,10.0,2.0
